id,category,pfc_id,sub_category,,status
1,Power Issue,55,Main Battery is Faulty,,f
2,Power Issue,55,Motherboard faulty,,f
3,Power Issue,55,CPU Faulty,,f
4,Power Issue,55,Graphics Card Faulty,,f
5,Power Issue,55,RAMs Faulty,,f
6,Power Issue,55,Hard Dirsk Crashed,,f
7,Power Issue,55,Un Supported External Device Connected,,f
8,Power Issue,55,Setting Not Proper,,f
9,Power Issue,55,Hard Disk Connected to Wrong SATA,,f
10,Power Issue,55,OS Crashed,,f
11,Power Issue,55,Window Crupted,,f
12,Power Issue,55,Fan Faulty,,f
13,Power Issue,55,Heat Sink is clogged,,f
14,Power Issue,55,Power Adapter,,f
15,Power Issue,55,Physical Damage,,f
16,Display Issue,56,RAM Faulty,,f
17,Display Issue,56,Motherboard Faulty,,f
18,Display Issue,56,Hard Disk Crashded,,f
19,Display Issue,56,Inverter Faulty,,f
20,Display Issue,56,Bad Video/Graphic Card,,f
21,Display Issue,56,Driver Missing,,f
22,Display Issue,56,Crupted OS,,f
23,Display Issue,56,Crupted BIOS,,f
24,Display Issue,56,Display Damaged,,f
25,Display Issue,56,Touch screen faulty,,f
26,Display Issue,56,touch screen damaged,,f
27,Display Issue,56,Screen Inverter Faulty,,f
28,Display Issue,56,Backlight Lamp Faulty,,f
29,Display Issue,56,OS Outdated,,f
30,Display Issue,56,Poor Connection between Video cable and motherboard,,f
31,Display Issue,56,Physical Damage,,f
32,Sound Issue,57,Cooling Fan Faulty,,f
33,Sound Issue,57,Hard Drive Faulty,,f
34,Sound Issue,57,Vent Clogged,,f
35,Sound Issue,57,Speaker Faulty,,f
36,Sound Issue,57,Motherboard faulty,,f
37,Sound Issue,57,Sound Driver Missing,,f
38,Sound Issue,57,OS Not Updated,,f
39,Sound Issue,57,OS Upgraded but BIOS not Updated,,f
40,Sound Issue,57,Sound Device Is not Installed Properly,,f
41,Sound Issue,57,Sound Setting not Proper,,f
42,Sound Issue,57,Water Logged,,f
43,Sound Issue,57,Physical Damage,,f
44,Windows & Network Issue,58,Hard Disk Faulty,,f
45,Windows & Network Issue,58,RAM faulty,,f
46,Windows & Network Issue,58,Other Hardware Issue,,f
47,Windows & Network Issue,58,Graphic Card Faulty,,f
48,Windows & Network Issue,58,OS is Crashed,,f
49,Windows & Network Issue,58,LAN card Faulty,,f
50,Windows & Network Issue,58,Setting Not Proper,,f
51,Windows & Network Issue,58,Wrong IP setting,,f
52,Windows & Network Issue,58,Router is at large distance,,f
53,Windows & Network Issue,58,Network Driver Outdated,,f
54,Windows & Network Issue,58,LAN card Faulty,,f
55,Windows & Network Issue,58,Router Faulty,,f
56,Windows & Network Issue,58,Electric/Maganetic Interference,,f
57,Windows & Network Issue,58,Insufficient WiFi Range and power,,f
58,Windows & Network Issue,58,Network is oveloaded,,f
59,Windows & Network Issue,58,Network Driver Outdated,,f
60,Windows & Network Issue,58,Incompetible Software Package Installed,,f
61,Windows & Network Issue,58,Laptop Power Setting Not Proper,,f
62,Windows & Network Issue,58,Physical Damage,,f
63,Touch Pad/Keyboard/Mouse Issue,59,Touchpad Defective,,f
64,Touch Pad/Keyboard/Mouse Issue,59,Other Harrdware Failure,,f
65,Touch Pad/Keyboard/Mouse Issue,59,Touch Key Disabled,,f
66,Touch Pad/Keyboard/Mouse Issue,59,Other Mouse Driver Installed,,f
67,Touch Pad/Keyboard/Mouse Issue,59,Touchpad Driver Outdated,,f
68,Touch Pad/Keyboard/Mouse Issue,59,Tablet PC Input Service Enabled,,f
69,Touch Pad/Keyboard/Mouse Issue,59,OS Not Responding,,f
70,Touch Pad/Keyboard/Mouse Issue,59,USB Port Faulty,,f
71,Touch Pad/Keyboard/Mouse Issue,59,Keyboard/Mouse Wire Faulty,,f
72,Touch Pad/Keyboard/Mouse Issue,59,Keyboad/Mouse Faulty,,f
73,Touch Pad/Keyboard/Mouse Issue,59,Driver Missing,,f
74,Touch Pad/Keyboard/Mouse Issue,59,Laptop Hanged/Frozen,,f
75,Touch Pad/Keyboard/Mouse Issue,59,Keyboard/Mouse Not Conncested properly,,f
76,Touch Pad/Keyboard/Mouse Issue,59,Keyboard Damaged,,f
77,Touch Pad/Keyboard/Mouse Issue,59,Keyboard Dirty/Clogged,,f
78,Touch Pad/Keyboard/Mouse Issue,59,Keyborad disabled,,f
79,Touch Pad/Keyboard/Mouse Issue,59,Touch screen faulty,,f
80,Touch Pad/Keyboard/Mouse Issue,59,Tourch screen damage,,f
81,Touch Pad/Keyboard/Mouse Issue,59,BIOS Setting Not Proper,,f
82,Touch Pad/Keyboard/Mouse Issue,59,Keyboard Driver Missing,,f
83,Touch Pad/Keyboard/Mouse Issue,59,Keyboard/Mouse Battery is dead,,f
84,Touch Pad/Keyboard/Mouse Issue,59,Wireless USB Adapter Faulty,,f
85,Touch Pad/Keyboard/Mouse Issue,59,Laptop Bluetooth Faulty,,f
86,Touch Pad/Keyboard/Mouse Issue,59,Bluetooth Keyboard/Mouse Faulty,,f
87,Touch Pad/Keyboard/Mouse Issue,59,Device is not Snchronized,,f
